route_distance_m,route_eta_sec,atm_count,bank_count,restaurant_count,pharmacy_count,cafe_count,shopping_mall_count,supermarket_count,hospital_count,police_count,bus_station_count,train_station_count,commercial_activity_score,emergency_presence_score,transport_activity_score,isolation_score,redzone_overlap_score,incident_density,avg_incident_severity,temporal_risk_score,nighttime_score,risk_probability
4802,325,0,3,4,0,2,0,0,0,0,0,0,6,0,0,88.0,0.352273,3.748438,4.918958,15.826278,0.03252,0.412113
9202,1123,2,2,6,4,4,0,2,3,0,4,2,12,3,6,61.0,0.333836,5.216257,3.302306,9.254038,0.642152,0.469378
6194,603,2,1,6,1,1,0,0,0,0,3,0,7,0,3,81.5,0.318939,4.68195,3.130733,2.362166,0.456066,0.321178
3549,360,0,1,4,0,1,0,3,1,3,2,0,8,4,2,73.0,0.322486,3.663004,4.904964,8.817832,0.301878,0.408947
4284,367,1,0,4,0,2,0,0,1,0,0,0,6,1,0,86.0,0.557034,6.069094,4.441233,16.949471,0.904382,0.562621
10563,936,1,1,4,2,6,1,0,2,0,0,0,11,2,0,74.0,0.530218,3.976143,5.267826,28.407829,0.65314,0.468222
4990,849,2,2,2,1,3,0,0,0,2,3,0,5,2,3,81.5,0.094223,2.004008,2.681928,0.030565,0.456005,0.280896
4700,389,1,0,4,1,4,1,1,0,1,2,0,10,1,2,75.0,0.469182,4.042553,4.969304,52.0564,0.791594,0.438204
11581,1464,2,2,14,4,4,2,2,1,0,6,1,22,1,7,43.5,0.489503,5.69899,4.422465,21.970156,0.2711,0.465027
11000,1300,2,4,14,1,9,0,10,0,5,8,4,33,5,12,6.0,0.061879,1.090909,1.930888,0.426119,0.530484,0.121024
8493,1020,2,0,15,3,8,0,3,3,2,3,1,26,5,4,32.0,0.146181,3.650065,2.552904,6.512503,0.366962,0.209134
12646,882,3,1,2,2,5,0,0,0,0,1,1,7,0,2,83.0,0.88157,5.377194,7.058243,293.787978,0.979103,0.753666
9429,1546,2,2,16,2,5,3,3,1,0,5,2,27,1,7,33.5,0.558478,6.257291,5.356395,14.040912,0.450714,0.453672
3633,420,2,0,1,0,4,0,0,0,0,0,0,5,0,0,90.0,0.426623,4.128819,3.199549,12.088143,0.381294,0.445201
8841,622,1,1,7,1,1,0,0,2,0,3,0,8,2,3,75.5,0.673675,4.863703,4.77599,14.53251,0.222903,0.57376
8542,1051,2,0,13,1,5,1,1,2,0,4,0,20,2,4,50.0,0.617284,3.043784,4.704722,18.990226,0.401237,0.404918
3161,400,0,0,0,2,1,0,2,0,0,2,1,3,0,3,89.5,0.008039,1.898134,2.846562,1.329545,0.505419,0.250714
4500,326,0,1,2,1,0,1,0,0,0,0,0,3,0,0,94.0,0.922507,6.0,7.169403,28.39893,0.702817,0.727493
5047,458,0,1,3,0,0,1,1,1,0,0,0,5,1,0,88.0,0.868873,4.953438,5.877022,36.283023,0.552958,0.675971
14763,922,0,0,3,0,2,0,1,0,0,1,1,6,0,2,85.0,0.868517,7.586534,6.657543,161.354,0.640747,0.70918
10529,658,0,1,3,0,2,0,0,1,0,1,0,5,1,1,86.5,0.77578,7.218159,5.811284,169.60857,0.859301,0.70097
